X,Y,OBJECTID,BEST_LOCATION,SPRING_KEY,RESOURCE_,SURFACE_WATER_MEASURE,SPRING_NAME,STATION_NAME,STATION_ALIAS,STATION_ID,DATA_SOURCE,STATION_COMMENTS,TIDAL,FGS_MAGNITUDE,SPRING_CLUSTER,DMS_LAT,DMS_LON,ALBERS_X,ALBERS_Y,DATUM_ALBERS,LOCATION_METHOD,OFS_NAME
-82.9863687450546,30.0085055211173,11,CONDITIONAL,228,SPRING_GENERAL,YES,BRANTLEY SPRING,BRANTLEY SPRING, ,300029082591201,USGS, , ,2, ,30 00 29,82 59 12,497656.449157,667226.604613,NAD27, ,
-84.4156944444688,30.175972221024,12,CONDITIONAL,2701,SPRING_DRAIN,NO,BREAM FOUNTAIN SINK,BREAM FOUNTAIN SINKHOLE OFF PERIWINKLE RD,BREAM FOUNTAIN SINKHOLE OFF PERIWINKLE RD,22030071,FL STORET, , ,Unknown, ,30 10 33.5,84 24 56.5,360012.967702,685481.676442,NAD83/HARN/HPGN, ,
-81.8620898331626,29.5165719994771,13,CONDITIONAL,2428,SPRING_GENERAL,YES,BRIGHT ANGEL SPRING,BRIGHT ANGEL SPRING, ,223517,SJRWMD, , ,Unknown, ,29 30 59.6592,81 51 43.524,606911.849784,614004.603568,NAD83/HARN/HPGN, ,
-82.3014416666576,27.8890761108238,14,CONDITIONAL,239,SPRING_GENERAL,YES,BUCKHORN EAST SPRING,BUCKHORN EAST SPRING,BUCKHORN TRIBUTARY SPRING,275320082180501,SWFWMD, , ,2,BUCKHORN CLUSTER,27 53 20.674,82 18 05.19,566882.7954,432626.398996,NAD83/HARN/HPGN, ,
-82.3052102774156,27.8869016662206,15,CONDITIONAL,241,SPRING_GENERAL,YES,BUCKHORN SOUTH SPRING,BUCKHORN SOUTH SPRING, ,275312082181801,SWFWMD, , ,2,BUCKHORN CLUSTER,27 53 12.846,82 18 18.757,566515.872665,432379.846414,NAD83/HARN/HPGN, ,
-82.2980833338161,27.8939722213575,16,CONDITIONAL,2708,SPRING_GENERAL,YES,BUCKHORN SPRINGS #395,TP395-BUCKHORN SPRINGS,TP395-Buckhorn Springs,27533838217531,FL STORET, , ,Unknown,BUCKHORN CLUSTER,27 53 38.3,82 17 53.1,567205.225547,433174.62991,NAD83/HARN/HPGN,AGPS,
-82.2850555556405,27.8940833328025,17,CONDITIONAL,2706,SPRING_GENERAL,YES,BUCKHORN SPRINGS #396,TP396-BUCKHORN SPRINGS,TP396-Buckhorn Springs,2753387821762,FL STORET, , ,Unknown,BUCKHORN CLUSTER,27 53 38.7,82 17 06.2,568484.889009,433204.700372,NAD83/HARN/HPGN,AGPS,
-82.2768888887297,27.8906944440728,18,CONDITIONAL,2707,SPRING_GENERAL,YES,BUCKHORN SPRINGS #397,TP397-BUCKHORN SPRINGS,TP397-Buckhorn Springs,27532658216368,FL STORET, , ,Unknown,BUCKHORN CLUSTER,27 53 26.5,82 16 36.8,569292.430585,432839.571654,NAD83/HARN/HPGN,AGPS,
-82.3046719448388,27.8892058329616,19,CONDITIONAL,250,SPRING_GENERAL,YES,BUCKHORN WEST SPRING,BUCKHORN WEST SPRING,BUCKHORN TRIBUTARY SPRING 3,275321082181601,SWFWMD, , ,2,BUCKHORN CLUSTER,27 53 21.141,82 18 16.819,566565.243639,432636.436406,NAD83/HARN/HPGN, ,
-85.6460146478824,30.68203107519,20,CONDITIONAL,3355,SPRING_GENERAL,YES,BURNT OUT SPRING,BURNT OUT SPRING, , ,DEP FGS BULLETIN 66, , ,3, ,30 40 55.32,85 38 45.66,242418.400693,742627.43989,NAD83, ,
-81.9514513306948,29.5060506008969,21,CONDITIONAL,274,SPRING_BOIL,YES,CAMP SEMINOLE SPRINGS,CAMP SEMINOLE SPRINGS, ,DEP FGS-58,DEP FGS,Well Augmented     Heart-shaped concrete pool fed by sand boil., ,4, ,29 30 21.79253,81 57 05.23206,598283.457867,612689.748571,WGS84,DGPS,
-83.58723841114,30.0584802908612,22,CONDITIONAL,279,SPRING_GENERAL,YES,CARLTON SPRING,CARLTON SPRING, ,300329083351501,USGS, , ,8, ,30 03 29,83 35 15,439748.565328,672439.214477,NAD27, ,
-82.0451111111272,29.2153888881909,23,CONDITIONAL,2469,SPRING_GENERAL,YES,CATFISH HOTEL SPRING (MARION),SSG-CATFISH HOTEL-1, ,105051,SJRWMD, , ,1,SILVER SPRINGS GROUP,29 12 55.4,82 02 42.4,589730.322202,580272.324388,NAD83/HARN/HPGN, ,
-86.205138580613,30.9873863720523,24,CONDITIONAL,3278,SPRING_GENERAL,YES,CEDAR BLUE SPRING,CEDAR BLUE SPRING, , ,DEP NWD PENSACOLA, , ,Unknown, ,30 59 14.6,86 12 18.5,189501.298901,777335.570373,NAD83, ,
-82.5992000001457,28.901899999672,25,CONDITIONAL,4167,SPRING_GENERAL,YES,CEDAR COVE SPRINGS,"A20 CRYSTAL RIVER; CEDAR COVE SPRINGS #G1", ,20150,SWFWMD,IWR had assigned a WBID to this spring in the past.  SWFWMD showed this spring in their Web WMIS database.  Spring is also shown on several maps in late 1990's.  Cedar Cove Spring was not located on recent field visits in 2013., ,Unknown, ,28 54 06.84,82 35 57.12,536351.838415,544730.918014, , ,
-82.6996446566857,28.3672288460949,26,CONDITIONAL,299,SPRING_VENT,YES,CEDAR ISLAND SPRING A (PASCO),CEDAR ISLAND SPGS A,822-242-A,282200082420001,USGS,24K Quad Shows Location, ,Unknown, ,28 22 4.87,82 42 53.461,527201.20563,485249.48913,NAD27, ,
-82.6996446566857,28.3672288460949,27,CONDITIONAL,300,SPRING_VENT,YES,CEDAR ISLAND SPRING B (PASCO),CEDAR ISLAND SPGS B,822-242-B,282200082420002,USGS,24K Quad Shows Location, ,Unknown, ,28 22 4.87,82 42 53.461,527201.20563,485249.48913,NAD27, ,
-81.4483333329652,28.8724999993625,28,CONDITIONAL,2431,SPRING_GENERAL,YES,CEDAR SPRING,CEDAR SPRINGS, ,79026,SJRWMD, , ,5, ,28 52 21,81 26 54,648430.699765,543261.962881,NAD83/HARN/HPGN, ,
-85.1451269265214,30.7880605712943,29,CONDITIONAL,2565,SPRING_GENERAL,YES,INDIAN WASHTUB SPRING,INDIAN WASHTUB,INDIAN WASHTUB SPRING BY NWFWMD,30645,DEP GWIS,"Site is technically not spring but ponor; estimated as 2nd Magnitude;", ,2, ,30 47 17.0178,85 08 42.45684,290478.57,753848.64,WGS84,DGPS,
-81.7619444447911,29.6674999990666,30,CONDITIONAL,2446,SPRING_GENERAL,YES,INDIGO SPRINGS,INDIGO SPRINGS, ,79643,SJRWMD, , ,Unknown, ,29 40 03,81 45 43,616298.996233,630931.066314,NAD83/HARN/HPGN, ,
-83.3074947562001,29.828221799219,31,CONDITIONAL,989,SPRING_GENERAL,YES,IRON SPRING (LAFAYETTE),IRON SPRING, ,294940083182800,USGS, , ,3, ,30 49 35.503,84 18 28.963,466830.942777,646999.294865,NAD27, ,
-82.9575908211348,29.6736218696363,32,CONDITIONAL,990,SPRING_GENERAL,YES,IRON SPRINGS (DIXIE),IRON SPRINGS,IRON SPRINGS,IRO010C1,SRWMD - HORNSBY, , ,3, ,29 40 25.048,82 57 27.334,500743.206805,630073.672852,NAD83, ,
-81.4171666664723,28.8234444436116,33,CONDITIONAL,992,SPRING_GENERAL,YES,ISLAND SPRING,ISLAND SPRING, ,73647,SJRWMD, , ,3, ,28 49 24.4,81 25 01.8,651578.744981,537878.627604,NAD83/HARN/HPGN, ,
-82.7701220441069,29.9258224024655,34,CONDITIONAL,1010,SPRING_GENERAL,YES,JAMISON SPRINGS,JAMISON SPRINGS, ,JAM010C1,SRWMD - HORNSBY, , ,3, ,29 55 32.973,82 46 12.442,518581.252963,658238.015031,NAD83, ,
-83.9958500062618,30.3449484311207,35,CONDITIONAL,1012,SPRING_GENERAL,YES,JEF312991 (JEFFERSON),JEF312991,JEF312991,JEF312991,SRWMD - HORNSBY, , ,3,WACISSA GROUP,30 20 41.822,83 59 45.064,400398.571297,704169.026212,NAD83, ,Wacissa Spring Group
-83.9858624678688,30.3249459053792,36,CONDITIONAL,1013,SPRING_GENERAL,YES,JEF63991 (JEFFERSON),JEF63991,"JEF63991; ALLEN SPRING",JEF63991,SRWMD - HORNSBY, , ,2,WACISSA GROUP,30 19 29.813,83 59 09.109,401358.043234,701949.111276,NAD83, ,Wacissa Spring Group
-83.9866891320503,30.323194237008,37,CONDITIONAL,1014,SPRING_GENERAL,YES,JEF63992 (JEFFERSON),JEF63992,JEF63992,JEF63992,SRWMD - HORNSBY, , ,2,WACISSA GROUP,30 19 23.507,83 59 12.085,401278.655347,701754.691665,NAD83, ,Wacissa Spring Group
-82.6340881791953,28.5227680819715,38,CONDITIONAL,1026,SPRING_GENERAL,YES,JENKINS CREEK SPRING #5,JENKINS CREEK SPRING NO. 5, ,283120082380400,USGS, , ,Unknown,WEEKI WACHEE GROUP,28 31 20,82 38 04,533422.376542,502591.393673,NAD27, ,Weeki Wachee Spring Group
-83.6091841305749,29.8465677366322,39,CONDITIONAL,2077,SPRING_GENERAL,YES,JUG ISLAND SPRING,TAY819991,TAY819991,TAY819991,SRWMD - HORNSBY,There is a very pronounced copper-colored staining of the bank and trees surrounding the spring due to iron deposition from the spring water., ,2, ,29 50 47.654,83 36 33.07,437709.774541,648908.092429,NAD83, ,
-84.3425761245562,30.2790115098138,40,CONDITIONAL,1045,KARST_WINDOW,YES,KINI SPRING,KINI SPRING, ,301643084203400,USGS,Karst Window per Maddox 08/24/09, ,1, ,30 16 43,84 20 34,367078.213867,696896.614576,NAD27, ,
-81.8109907261772,27.8428307490729,41,CONDITIONAL,1048,SPRING_GENERAL,NO,KISSENGEN SPRING,KISSENGEN SPRING, ,275032081484100,USGS, , ,Never Flowing, ,27 50 32,81 48 41,615156.105583,428251.035733,NAD27, ,
-82.0514444444483,29.2146388879849,42,CONDITIONAL,2504,SPRING_GENERAL,YES,LADIES PARLOR SPRING,SSG-LADIES PARLOR, ,105016,SJRWMD, , ,Unknown,SILVER SPRINGS GROUP,29 12 52.7,82 03 05.2,589117.0123,580179.324311,NAD83/HARN/HPGN, ,
-82.9822495742821,30.007512769168,43,CONDITIONAL,1050,SPRING_GENERAL,YES,LAF1024001 (LAFAYETTE),LAF1024001,LAF1024001,LAF1024001,SRWMD - HORNSBY, , ,3, ,30 00 27.062,82 58 56.104,498054.2037,667119.675132,NAD83, ,
-83.1087710010957,30.0904650711915,44,CONDITIONAL,1051,SPRING_GENERAL,YES,LAF57981 (LAFAYETTE),LAF57981,LAF57981,LAF57981,SRWMD - HORNSBY, , ,3, ,30 05 25.687,83 06 31.581,485798.295008,676233.128421,NAD83, ,
-83.033862337191,30.0450956103549,45,CONDITIONAL,1054,SPRING_GENERAL,YES,LAF710981 (LAFAYETTE),LAF710981,LAF710981,LAF710981,SRWMD - HORNSBY, , ,4, ,30 02 42.359,83 02 01.91,493049.039793,671251.448257,NAD83, ,
-83.2266388892579,30.1143055544972,46,CONDITIONAL,2941,SPRING_GENERAL,YES,LAF721001 (LAFAYETTE),UN-NAMED SPRING,LAF721001,LAF721001,FL STORET, , ,Unknown, ,30 06 51.5,83 13 35.9,474434.759835,678802.803427,NAD83/HARN/HPGN,WGPS,
-83.1476452676433,30.1032126151537,47,CONDITIONAL,1060,SPRING_GENERAL,YES,LAF919971 (LAFAYETTE),LAF919971,LAF919971,LAF919971,SRWMD - HORNSBY, , ,4, ,30 06 11.577,83 08 51.528,482046.163926,677621.629148,NAD83, ,
-82.5861255559524,28.7968588886538,48,CONDITIONAL,3,SPRING_GENERAL,YES,ABDONEY SPRING,ABDONEY SPRING, ,284802082351801,SWFWMD, ,NONTIDAL,2,HOMOSASSA GROUP,28 47 48.692,82 35 10.052,537758.173539,533081.220203,NAD83/HARN/HPGN, ,Homosassa Spring Group
-83.1980579607458,30.4320949312207,49,CONDITIONAL,4,SPRING_GENERAL,YES,ADAMS SPRING,ADAMS SPRING, ,302554083115400,USGS, , ,Unknown, ,30 25 54,83 11 54,476956.214538,714090.89514,NAD27, ,
-82.6460210082605,29.8272632121258,50,CONDITIONAL,370,SPRING_GENERAL,YES,ALLEN SPRING (COLUMBIA),COL428982,"COL428982; ALLEN SPRING",COL428982,SRWMD - HORNSBY, , ,2, ,29 49 38.157,82 38 45.68,530666.388405,647422.5802, , ,
-82.0509166669224,29.2151111102548,51,CONDITIONAL,2461,SPRING_GENERAL,YES,ALLIGATOR HOLE SPRING,SSG-ALLIGATOR HOLE,"ALLIGATOR HOLE SPRING; SILVER SPRING #2",105196,SJRWMD, , ,1,SILVER SPRINGS GROUP,29 12 54.4,82 03 03.3,589167.402725,580232.564006,NAD83/HARN/HPGN, ,
-83.9905244401746,30.3402978687729,52,CONDITIONAL,55,SPRING_GENERAL,YES,AUCILLA SPRING,AUCILLA SPRING  ON THE WACISSA RIVER,SPRING NO. 2 (BULLETIN 66),WAS110C1,SRWMD - HORNSBY, , ,3,WACISSA GROUP,30 20 25.08,83 59 25.892,400910.0859,703652.913,NAD83, ,Wacissa Spring Group
-81.8667158334449,29.5158469995153,53,CONDITIONAL,2424,SPRING_GENERAL,YES,BAMBOO SPRING,BAMBOO SPRING, ,223520,SJRWMD, , ,Unknown, ,29 30 57.0492,81 52 00.1776,606465.572111,613916.364164,NAD83/HARN/HPGN, ,
-81.4716666665219,28.7113888890744,54,CONDITIONAL,73,SPRING_GENERAL,YES,BARREL SPRING (ORANGE),BARREL SPRING, ,73623,SJRWMD, , ,3, ,28 42 41,81 28 18,646526.094988,525327.114154,NAD83/HARN/HPGN, ,
-81.8960999998283,30.0853000003254,55,CONDITIONAL,90,SPRING_GENERAL,YES,BECKY SPRINGS,BECKY SPRINGS, ,112WRD  300507081534600,IWR - WITHOUT WBID,On Black Creek, ,Unknown, ,30 05 07.08,81 53 45.96,602543.414286,677077.615757, , ,
-82.9545854420071,29.9613505750549,56,CONDITIONAL,1077,SPRING_GENERAL,YES,LAF93971 (LAFAYETTE),LAF93971,LAF93971,LAF93971,SRWMD - HORNSBY, , ,3, ,29 57 40.877,82 57 16.513,500762.857442,662017.785297,NAD83, ,
-85.1654678053812,30.7803461423991,57,CONDITIONAL,2561,SPRING_VENT,YES,LAMARS LANDING SPRING,LAMARS LANDING SPRING, ,30641,DEP GWIS, , ,Unknown, ,30 46 49.24596,85 09 55.68372,288525.11,753010.99,WGS84,DGPS,
-82.5765850967551,28.7194156824667,58,CONDITIONAL,1108,SPRING_GENERAL,YES,LETTUCE CREEK SPRING,LETTUCE CREEK SPRING NEAR CHASSAHOWITZKA FL, ,284308082343700,USGS, , ,Unknown,CHASSAHOWITZKA  GROUP,28 43 08,82 34 37,538786.959856,524492.168538,NAD27, ,Chassahowitzka Spring Group
-83.1336097898208,30.1293460289845,59,CONDITIONAL,4223,KARST_WINDOW,NO,CHALLENGE SINK,CHALLENGE SINK, ,WIN010C1,SRWMD - HORNSBY,"Spring type is estavelle.  SRWMD 070115;", ,2,PEACOCK CAVE CLUSTER,30 07 45.62530,83 08 00.98202,483376.791683,680531.780022,NAD83, ,
-86.0598758597928,30.4017819354098,60,CONDITIONAL,337,SPRING_GENERAL,YES,CHOCTAWHATCHEE SPRINGS (WALTON),CHOCTAWHATCHEE SPGS, ,302405086033600,USGS, , ,Unknown, ,30 24 05,86 03 36,202281.151019,712127.957038,NAD27, ,
-82.0492499999759,29.2161944431974,61,CONDITIONAL,2475,SPRING_GENERAL,YES,CHRISTMAS TREE SPRING,SSG-CHRISTMAS TREE,"SILVER SPRING #4; CHRISTMAS TREE SPRING",105198,SJRWMD, , ,1,SILVER SPRINGS GROUP,29 12 58.3,82 02 57.3,589327.243897,580355.402749,NAD83/HARN/HPGN, ,
-84.8578954219493,30.6962161744709,62,CONDITIONAL,345,SPRING_GENERAL,YES,CLAM SPRINGS,CLAM SPRINGS, ,304145084512901,USGS, , ,Unknown, ,30 41 45,84 51 29,317878.353497,743435.325501,NAD27, ,
-82.6588299997214,30.116669998993,63,CONDITIONAL,2579,SPRING_DRAIN,NO,CLAY HOLE SINK,CLAY HOLE,CLYHOLE@47,21030065,DEP EAS, , ,N/A, ,30 07 00.012,82 39 31.788,529080.896673,679533.798721,NAD83/HARN, ,
-82.6782078445614,29.8338185515189,64,CONDITIONAL,366,SPRING_GENERAL,YES,COL101975 (COLUMBIA),COL101975,COL101975,COL101975,SRWMD - HORNSBY, , ,4, ,29 50 01.756,82 40 41.552,527552.502259,648116.588934,NAD83, ,
-82.7580163890337,29.980519183303,65,CONDITIONAL,367,SPRING_GENERAL,YES,COL1105041 (COLUMBIA),COL1105041, ,COL1105041,SRWMD - HORNSBY, , ,3, ,29 58 49.882,82 45 28.862,519687.252805,664321.281326,NAD83, ,
-82.530367139672,29.9383022810562,66,CONDITIONAL,377,SPRING_GENERAL,YES,COL61982 (COLUMBIA),COL61982,COL61982,COL61982,SRWMD - HORNSBY, , ,4, ,29 56 17.896,82 31 49.327,541680.2074,659876.343515,NAD83, ,
-86.2132000528899,30.9853333634981,67,CONDITIONAL,404,SPRING_VENT,YES,CORDLE SPRING,CORDLE SPRING, ,28655,DEP GWIS, , ,Unknown, ,30 59 07.2,86 12 47.52,188727.76,777121.65,WGS84,DGPS,
-81.2083333328884,29.768333332211,68,CONDITIONAL,413,SPRING_GENERAL,YES,CRESCENT BEACH SUBMARINE SPRING,CRESCENT BEACH SUBMARINE SPRING, ,73635,SJRWMD, , ,2, ,29 46 06,81 12 30,669541.619856,643214.084033,NAD83/HARN/HPGN, ,
-81.6891666668613,29.4383333322379,69,CONDITIONAL,416,SPRING_BOIL,YES,CROAKER HOLE SPRING,CROAKER HOLE SPRING, ,73636,SJRWMD, , ,2, ,29 26 18,81 41 21,623808.645418,605620.937932,NAD83/HARN/HPGN, ,
-81.8349999995625,30.2738888884147,70,CONDITIONAL,2432,SPRING_SEEP,NO,D-1415 SEEP,D-1415, ,105682,SJRWMD, , ,Unknown, ,30 16 26,81 50 06,608057.454359,698108.780961,NAD83/HARN/HPGN, ,
-85.1498273022248,30.0059584914969,71,CONDITIONAL,453,SPRING_GENERAL,YES,DALKEITH SPRINGS,DALKEITH SPRINGS, ,300020085090000,USGS, , ,3, ,30 00 20,85 09 00,289219.713224,667058.983492,NAD27, ,
-83.3446435419245,29.726888538573,72,CONDITIONAL,493,SPRING_GENERAL,YES,DIX625991 (DIXIE),DIX625991,DIX625991,DIX625991,SRWMD - HORNSBY, , ,3, ,29 43 36.81,83 20 40.726,463305.682802,635729.917397,NAD83, ,
-83.3462074160267,29.7190416029989,73,CONDITIONAL,494,SPRING_GENERAL,YES,DIX625992 (DIXIE),DIX625992,DIX625992,DIX625992,SRWMD - HORNSBY, , ,3, ,29 43 08.561,83 20 46.356,463159.237015,634857.945238,NAD83, ,
-83.3608203954062,29.6769913694482,74,CONDITIONAL,495,SPRING_GENERAL,YES,DIX625993 (DIXIE),DIX625993,DIX625993,DIX625993,SRWMD - HORNSBY, , ,2, ,29 40 37.18,83 21 38.963,461771.770321,630182.054593,NAD83, ,
-83.3640270628252,29.6765563675299,75,CONDITIONAL,496,SPRING_GENERAL,YES,DIX625994 (DIXIE),DIX625994,DIX625994,DIX625994,SRWMD - HORNSBY,"Pieces of pottery jars were found in the spring run. The spring was apparently used for a source
of water in the past.", ,3, ,29 40 35.614,83 21 50.507,461462.122454,630132.157209,NAD83, ,
-81.7422222219937,28.679722221066,76,CONDITIONAL,502,SPRING_GENERAL,YES,DOUBLE RUN SPRING (LAKE),DOUBLE RUN SPRING,DOUBLE RUN SPRING ASTATULA,44473,SJRWMD,SJRWMD says spring discharges in swampy area and may be a surficial aquifer seep.  They have not been able to locate the exact vent since the source is on private property with no permission., ,3, ,28 40 47,81 44 32,620212.982377,521299.03924,NAD83/HARN/HPGN, ,
-81.2398000002375,28.3337000001038,77,CONDITIONAL,511,SPRING_GENERAL,YES,EAST LAKE TOHOPEKALIGA UNNAMED SPRING NW,SPRING NW, ,21FLORL SPN,IWR - WITHOUT WBID, , ,Unknown, ,28 20 01.32,81 14 23.28,670069.508726,483877.871959, , ,
-81.2906999999135,28.2732000000248,78,CONDITIONAL,512,SPRING_GENERAL,YES,EAST LAKE TOHOPEKALIGA UNNAMED SPRING SW,SPRING SW, ,21FLORL SPS,IWR - WITHOUT WBID, , ,Unknown, ,28 16 23.52,81 17 26.52,665237.656494,477050.105266, , ,
-81.883888888409,29.3383333320788,79,CONDITIONAL,2434,SPRING_GENERAL,YES,EATON CREEK SPRINGS,EATON CREEK SPRINGS, ,79028,SJRWMD, , ,Unknown, ,29 20 18,81 53 02,605141.893153,594180.402549,NAD83/HARN/HPGN, ,
-81.2490083329204,28.8612888878389,80,CONDITIONAL,2435,SPRING_RUN,YES,ENTERPRISE SPRINGS,ENTERPRISE SPRINGS, ,105727,SJRWMD, , ,Unknown, ,28 51 40.64,81 14 56.43,667861.685059,542434.508027,NAD83/HARN/HPGN, ,
-82.6865850848871,27.9908706781803,81,CONDITIONAL,529,SPRING_GENERAL,YES,ESPIRITU SANTO SPRINGS,ESPIRITU SANTO SPRING SAFETY HARBOR, ,275925082411300,USGS,There are 5 separate springs in this location.  Spring waters are collected in swimming pool that is used for health spa called Safety Harbor Resort and Spa, ,4, ,27 59 25,82 41 13,528923.818305,443468.397481,NAD27, ,
-82.3440693532265,28.0067052179637,82,CONDITIONAL,537,SPRING_GENERAL,YES,EUREKA SPRING #1,EUREKA SPRING #1, ,280022082204000,USGS, , ,Not Flowing, ,28 00 22,82 20 40,562519.478971,445631.53664,NAD27, ,
-82.3432360294194,28.0069829777725,83,CONDITIONAL,539,SPRING_GENERAL,YES,EUREKA SPRING #2,EUREKA SPRING #2, ,280023082203700,USGS, , ,Not Flowing, ,28 00 23,82 20 37,562600.845254,445663.479053,NAD27, ,
-82.3421248001245,28.0069829899837,84,CONDITIONAL,541,SPRING_GENERAL,YES,EUREKA SPRING #3,EUREKA SPRING #3, ,280023082203300,USGS, , ,Not Flowing, ,28 00 23,82 20 33,562709.898832,445664.946194,NAD27, ,
-82.3435138369464,28.0069829767164,85,CONDITIONAL,544,SPRING_GENERAL,YES,EUREKA SPRING #4,EUREKA SPRING #4, ,280023082203800,USGS, , ,Not Flowing, ,28 00 23,82 20 38,562573.581854,445663.112699,NAD27, ,
-83.6655771585951,30.0743113218659,86,CONDITIONAL,548,SPRING_GENERAL,NO,EWING SPRING,EWING SPRING, ,300426083395700,USGS, , ,Never Flowing, ,30 04 26,83 39 57,432199.870249,674173.645456,NAD27, ,
-82.045000000218,29.2158333320936,87,CONDITIONAL,2531,SPRING_GENERAL,YES,TURTLE NOOK SPRING,SSG-TURTLE NOOK,SILVER SPRING #12,105054,SJRWMD, , ,Unknown,SILVER SPRINGS GROUP,29 12 57,82 02 42,589740.32272,580321.841349,NAD83/HARN/HPGN, ,
-85.6879174642307,30.6536809235311,88,CONDITIONAL,3369,SPRING_GENERAL,YES,UNNAMED (WASHINGTON) 303913085411701,UNNAMED-303913085411701, , ,DEP FGS BULLETIN 66, , ,6, ,30 39 13.26,85 41 16.51,238364.01506,739536.238997,NAD83, ,
-85.6761646783658,30.6594420782885,89,CONDITIONAL,3370,SPRING_GENERAL,YES,UNNAMED (WASHINGTON) 303934085403401,UNNAMED-303934085403401, , ,DEP FGS BULLETIN 66, , ,6, ,30 39 34,85 40 34.2,239498.088302,740160.089831,NAD83, ,
-82.0473333332186,29.2155833322909,90,CONDITIONAL,2486,SPRING_GENERAL,YES,FIRST FISHERMANS PARADISE SPRING,SSG-FIRST FISHERMANS PARADISE-1,"SUNFISH SHELF; FIRST FISHERMAN PARADISE; SILVER SPRING #6",105042,SJRWMD, , ,Unknown,SILVER SPRINGS GROUP,29 12 56.1,82 02 50.4,589514.322188,580290.496126,NAD83/HARN/HPGN, ,
